B1,B2,B3,Y
0.795694836971568,0.643245299707808,-0.464455249116322,1
1,0.723976885395696,-0.33331339791553,1
1,0.393809432316928,1,1
0.666792630808664,1,0.572856865491428,1
1,0.78125685700996,0.865251343702382,1
1,1,-0.33331339791553,1
1,1,1,1
1,1,-0.33331339791553,1
1,1,-0.812150387826743,1
1,1,-0.812150387826743,1
1,1,1,1
1,1,0.125231518388056,1
0.509223550901582,1,1,1
1,1,1,1
1,1,1,1
1,1,1,1
1,1,1,1
1,1,-0.33331339791553,1
1,1,1,1
0.484391175348382,1,-0.33331339791553,1
1,1,1,1
1,1,1,1
1,1,1,1
0.666792630808664,1,-0.00292663496470003,1
0.666792630808664,1,-0.33331339791553,1
1,1,-0.33331339791553,1
1,1,1,1
1,1,-1,1
1,1,1,1
1,1,1,1
1,1,1,1
1,1,1,1
0.442893933691582,1,1,1
1,1,0.572856865491428,1
1,1,-0.33331339791553,1
1,1,-0.33331339791553,1
1,1,-0.33331339791553,1
1,1,-0.33331339791553,1
0.484391175348382,1,-0.33331339791553,1
1,1,-0.33331339791553,1
1,1,1,1
1,1,1,1
1,1,1,1
1,1,1,1
0.496393182988958,1,-1,1
0.871097793837096,1,0.44921987447508,1
0.666792630808664,1,-0.00292663496470003,1
1,1,0.621712696502238,1
1,1,1,1
1,1,1,1
1,1,1,1
1,1,-0.00292663496470003,1
1,1,-0.00292663496470003,1
1,1,0.243425393004476,1
0.795694836971568,1,-0.33331339791553,1
0.613293381511288,0.723976885395696,-0.33331339791553,1
1,1,-0.33331339791553,1
1,1,0.41762599659901,1
1,1,-0.33331339791553,1
1,1,0.125231518388056,1
0.613293381511288,1,0.865251343702382,1
1,1,-0.33331339791553,1
1,1,-0.33331339791553,1
1,1,0.243425393004476,1
1,1,-0.33331339791553,1
1,1,-0.185035720913114,1
1,1,0.0507773579856181,1
1,1,0.0507773579856181,1
1,1,-0.33331339791553,1
1,1,0.786428432745714,1
1,1,0.0507773579856181,1
1,1,0.0507773579856181,1
1,1,0.0507773579856181,1
1,1,0.0507773579856181,1
1,1,-0.33331339791553,1
1,1,0.165929457972932,1
1,1,0.865251343702382,1
0.484391175348382,1,-0.33331339791553,1
0.795694836971568,0.861988442697848,0.786428432745714,1
1,1,1,1
0.795694836971568,1,-0.00292663496470003,1
1,1,1,1
0.795694836971568,1,-0.00292663496470003,1
1,1,-0.00292663496470003,1
-1,1,-0.33331339791553,1
0.433820594036056,1,1,1
0.666792630808664,1,0.160675051134202,1
0.666792630808664,1,-0.00292663496470003,1
0.666792630808664,1,-0.00292663496470003,1
0.304918387873152,1,0.0792772519619001,1
-0.147730013329224,1,-0.00292663496470003,1
0.304918387873152,1,1,1
1,1,-0.11892329800688,1
1,1,-0.11892329800688,1
1,1,0.314471218177462,1
1,1,0.314471218177462,1
1,1,1,1
1,0.723976885395696,1,1
1,1,1,1
0.0332533192731921,0.723976885395696,-0.00292663496470003,1
1,1,1,1
1,1,1,1
-0.910109316552297,-0.660941346643608,-0.00292663496470003,1
1,1,1,1
1,1,1,1
1,1,1,1
1,1,1,1
1,1,1,1
1,0.723976885395696,1,1
1,1,1,1
1,1,1,1
1,1,1,1
1,1,1,1
1,0.723976885395696,1,1
1,1,1,1
1,0.723976885395696,1,1
1,1,1,1
1,0.723976885395696,1,1
1,0.723976885395696,1,1
1,1,1,1
1,1,-1,1
1,1,-0.33331339791553,1
1,0.78125685700996,0.730502687404766,1
1,0.78125685700996,0.730502687404766,1
0.509223550901582,1,0.621712696502238,1
1,1,0.621712696502238,1
1,1,-0.33331339791553,1
1,1,0.41762599659901,1
1,1,-0.33331339791553,1
1,1,1,1
1,0.78125685700996,-0.33331339791553,1
0.304918387873152,1,-0.00292663496470003,1
0.304918387873152,1,-0.00292663496470003,1
1,1,1,1
1,1,1,1
1,1,1,1
1,1,1,1
1,1,1,1
-0.910109316552297,-0.660941346643608,-0.00292663496470003,1
1,1,1,1
1,1,1,1
1,1,1,1
1,1,1,1
1,1,1,1
1,1,1,1
1,1,1,1
1,1,1,1
1,1,1,1
1,1,1,1
1,1,1,1
1,1,1,1
0.613293381511288,1,-0.00292663496470003,1
1,1,1,1
1,1,1,1
1,1,1,1
1,1,1,1
1,1,1,1
1,1,1,1
1,1,0.314471218177462,1
1,1,1,1
-0.534290985100982,1,-0.33331339791553,1
0.496393182988958,1,0.359285298237142,1
1,1,1,1
1,1,0.786428432745714,1
1,1,-0.188076695831752,1
0.666792630808664,1,-0.33331339791553,1
0.666792630808664,1,-0.33331339791553,1
0.666792630808664,1,-0.33331339791553,1
0.795694836971568,1,0.0507773579856181,1
0.795694836971568,1,0.0507773579856181,1
1,1,0.0507773579856181,1
1,1,0.730502687404766,1
1,1,-0.33331339791553,1
1,1,0.730502687404766,1
0.871097793837096,1,-0.33331339791553,1
0.871097793837096,1,0.268818115588778,1
1,1,-0.33331339791553,1
0.151183806157048,1,0.786428432745714,1
0.151183806157048,1,-0.33331339791553,1
1,1,1,1
0.795694836971568,1,-0.812150387826743,1
1,0.723976885395696,1,1
1,1,1,1
1,0.723976885395696,1,1
1,0.723976885395696,1,1
1,0.723976885395696,1,1
-0.910109316552297,-0.660941346643608,-0.00292663496470003,1
1,0.723976885395696,1,1
1,1,1,1
1,0.723976885395696,1,1
1,0.723976885395696,1,1
1,0.723976885395696,1,1
1,1,1,1
1,0.723976885395696,1,1
1,0.723976885395696,1,1
1,0.723976885395696,1,1
1,0.723976885395696,1,1
1,1,1,1
1,1,1,1
0.613293381511288,0.723976885395696,-0.00292663496470003,1
1,1,1,1
1,0.723976885395696,1,1
1,1,1,1
1,1,1,1
1,0.723976885395696,1,1
0.742195587674192,0.861988442697848,-0.33331339791553,1
0.742195587674192,1,-0.00292663496470003,1
1,1,0.730502687404766,1
0.795694836971568,1,0.486964040204622,1
0.373795532230596,1,-0.33331339791553,1
0.795694836971568,1,0.865251343702382,1
0.795694836971568,1,0.865251343702382,1
1,1,-0.33331339791553,1
0.871097793837096,1,-0.464455249116322,1
0.871097793837096,1,-0.33331339791553,1
0.151183806157048,1,-0.33331339791553,1
0.151183806157048,1,-0.33331339791553,1
0.304918387873152,1,0.730502687404766,1
1,0.861988442697848,1,1
0.871097793837096,1,0.572856865491428,1
1,1,1,1
1,1,1,1
1,1,1,1
0.871097793837096,1,1,1
0.554071632287946,0.723976885395696,-0.33331339791553,1
0.638125757064486,0.861988442697848,-0.33331339791553,1
1,1,1,1
1,1,1,1
1,1,1,1
1,1,1,1
1,1,1,1
0.666792630808664,1,0.572856865491428,1
0.666792630808664,1,-0.00292663496470003,1
1,1,0.486964040204622,1
-0.67937035153519,1,-0.33331339791553,1
-0.67937035153519,1,-0.33331339791553,1
0.742195587674192,0.723976885395696,-0.33331339791553,1
1,1,1,1
1,1,1,1
1,1,1,1
1,1,1,1
0.871097793837096,1,-0.00292663496470003,1
1,1,0.00739797977509404,1
0.0732157524361361,1,-1,1
1,1,-0.33331339791553,1
1,1,0.59575403110715,1
1,0.723976885395696,-0.33331339791553,1
1,0.78125685700996,0.786428432745714,1
1,0.723976885395696,-0.33331339791553,1
1,0.723976885395696,-0.33331339791553,1
1,0.723976885395696,-0.33331339791553,1
1,0.723976885395696,-0.33331339791553,1
0.304918387873152,1,-0.00292663496470003,1
0.304918387873152,1,-0.00292663496470003,1
-1,1,-0.33331339791553,1
1,0.723976885395696,-0.464455249116322,1
1,1,1,1
0.871097793837096,1,0.268818115588778,1
0.795694836971568,0.723976885395696,-0.33331339791553,1
1,1,0.160675051134202,1
0.871097793837096,1,-0.33331339791553,1
0.871097793837096,1,0.865251343702382,1
0.871097793837096,1,1,1
1,1,1,1
0.795694836971568,1,-0.33331339791553,1
0.666792630808664,1,-0.33331339791553,1
1,1,-0.33331339791553,1
1,1,-0.33331339791553,1
0.151183806157048,1,0.786428432745714,1
1,1,0.786428432745714,1
1,1,1,1
0.666792630808664,1,-0.00292663496470003,1
1,1,0.268818115588778,1
1,1,-1,1
0.742195587674192,0.723976885395696,0.247433807555248,1
1,1,0.314471218177462,1
1,1,1,1
1,1,1,1
1,1,1,1
1,0.723976885395696,1,1
1,1,1,1
0.742195587674192,1,1,1
-0.910109316552297,-0.660941346643608,-0.00292663496470003,1
1,1,1,1
1,1,1,1
1,0.723976885395696,1,1
1,1,1,1
1,0.723976885395696,1,1
1,1,1,1
1,0.723976885395696,1,1
1,1,1,1
1,1,1,1
1,1,1,1
1,1,1,1
1,1,1,1
0.613293381511288,1,-0.00292663496470003,1
1,1,1,1
1,0.723976885395696,1,1
1,1,1,1
1,1,1,1
1,1,1,1
0.795694836971568,0.78125685700996,-0.33331339791553,1
1,0.861988442697848,0.687123309194244,1
1,1,1,1
1,1,1,1
1,1,1,1
1,1,1,1
1,1,1,1
1,1,1,1
1,1,-0.00292663496470003,1
1,1,1,1
1,1,1,1
0.571796139854486,0.723976885395696,-0.00292663496470003,1
1,1,-0.00292663496470003,1
1,1,-0.00292663496470003,1
1,1,1,1
0.795694836971568,1,0.486964040204622,1
0.373795532230596,1,-0.33331339791553,1
0.795694836971568,1,0.865251343702382,1
0.795694836971568,1,0.865251343702382,1
0.666792630808664,1,1,1
0.666792630808664,1,-0.00292663496470003,1
