X0,X1,Y
-1,-1,-1
-0.636363636,-0.181818182,-1
-0.818181818,-0.909090909,-1
-0.272727273,-0.818181818,-1
-0.727272727,-0.636363636,-1
-0.090909091,-0.454545455,-1
0.909090909,0.636363636,-1
-1,-0.272727273,-1
-0.636363636,-0.454545455,-1
-0.545454545,-0.909090909,-1
-0.272727273,-0.090909091,-1
-0.545454545,-0.363636364,-1
-0.909090909,-0.181818182,-1
0.454545455,1,-1
-0.454545455,-0.636363636,-1
-0.454545455,0,-1
-0.363636364,-0.363636364,-1
-0.727272727,-0.727272727,-1
-0.272727273,-0.545454545,-1
-0.181818182,-0.181818182,-1
0.272727273,0.727272727,1
1,1,1
0.090909091,0.909090909,1
0.090909091,0.454545455,1
0,0.636363636,1
0.727272727,0.272727273,1
-0.909090909,-0.090909091,1
0.454545455,0.454545455,1
0.363636364,0.272727273,1
-0.181818182,-0.090909091,1
0.636363636,0.636363636,1
0.454545455,0.181818182,1
0.636363636,0.727272727,1
0.727272727,0.454545455,1
0.545454545,0,1
0.818181818,1,1
0.909090909,0.363636364,1
0.818181818,0,1
0.272727273,0.272727273,1
0.545454545,0.090909091,1
