X0,X1,Y
-0.047619048,-0.909090909,-1
0,-0.636363636,-1
-0.142857143,-0.363636364,-1
-0.285714286,-0.454545455,-1
-0.19047619,-0.181818182,-1
-0.523809524,-0.818181818,-1
0.714285714,0.090909091,-1
-0.904761905,-0.363636364,-1
-0.666666667,-0.272727273,-1
-0.095238095,-0.545454545,-1
-0.238095238,-0.727272727,-1
-0.142857143,-0.818181818,-1
-0.619047619,0.090909091,-1
0.952380952,0.454545455,-1
-0.380952381,0.454545455,-1
-0.571428571,0.272727273,-1
-0.714285714,0,-1
-1,0.727272727,-1
-0.285714286,0.181818182,-1
-0.380952381,-0.727272727,-1
0.19047619,-1,1
0.285714286,-0.727272727,1
0.333333333,-0.272727273,1
0.19047619,-0.454545455,1
0.142857143,-0.909090909,1
0.523809524,0,1
-0.619047619,0.363636364,1
0.904761905,0.545454545,1
0.761904762,0.090909091,1
-0.428571429,-0.090909091,1
0.428571429,0.545454545,1
0.238095238,0.727272727,1
0.333333333,1,1
0.476190476,0.818181818,1
0.666666667,0.272727273,1
0.80952381,-0.454545455,1
0.714285714,0.818181818,1
0.857142857,0.636363636,1
1,0.727272727,1
0.80952381,1,1
