X0,X1,Y
0,0,0
0.181818182,0.409090909,0
0.090909091,0.045454545,0
0.363636364,0.090909091,0
0.136363636,0.181818182,0
0.454545455,0.272727273,0
0.954545455,0.818181818,0
0,0.363636364,0
0.181818182,0.272727273,0
0.227272727,0.045454545,0
0.363636364,0.454545455,0
0.227272727,0.318181818,0
0.045454545,0.409090909,0
0.727272727,1,0
0.272727273,0.181818182,0
0.272727273,0.5,0
0.318181818,0.318181818,0
0.136363636,0.136363636,0
0.363636364,0.227272727,0
0.409090909,0.409090909,0
0.636363636,0.863636364,1
1,1,1
0.545454545,0.954545455,1
0.545454545,0.727272727,1
0.5,0.818181818,1
0.863636364,0.636363636,1
0.045454545,0.454545455,1
0.727272727,0.727272727,1
0.681818182,0.636363636,1
0.409090909,0.454545455,1
0.818181818,0.818181818,1
0.727272727,0.590909091,1
0.818181818,0.863636364,1
0.863636364,0.727272727,1
0.772727273,0.5,1
0.909090909,1,1
0.954545455,0.681818182,1
0.909090909,0.5,1
0.636363636,0.636363636,1
0.772727273,0.545454545,1
