X0,X1,Y
-0.85,-1,-1
-0.65,-0.733333333,-1
-1,-0.333333333,-1
-0.35,-0.466666667,-1
-0.25,-0.066666667,-1
-0.6,-1,-1
0.65,0.333333333,-1
-0.6,-0.333333333,-1
-0.75,-0.2,-1
-0.9,-0.6,-1
-0.3,-0.866666667,-1
-0.95,0.466666667,-1
-0.7,0.333333333,-1
0.8,0.066666667,-1
-0.45,0.866666667,-1
-0.65,0.6,-1
-0.8,0.2,-1
-0.8,0.733333333,-1
-0.35,0.466666667,-1
-0.45,-0.866666667,-1
0.55,-0.6,1
0.25,-0.866666667,1
0.3,-0.2,1
0.5,-0.466666667,1
0.3,-0.6,1
0.5,0.2,1
-0.7,0.733333333,1
0.9,1,1
0.75,0.333333333,1
-0.5,0.066666667,1
0.4,0.866666667,1
0.6,-0.2,1
0.3,-0.066666667,1
0.35,0.466666667,1
0.65,0.6,1
0.8,-0.466666667,1
0.7,-1,1
0.85,0.733333333,1
1,0.6,1
0.8,-0.733333333,1
