X0,X1,Y
0.476190476,0.045454545,0
0.5,0.181818182,0
0.428571429,0.318181818,0
0.357142857,0.272727273,0
0.404761905,0.409090909,0
0.238095238,0.090909091,0
0.857142857,0.545454545,123
0.047619048,0.318181818,0
0.166666667,0.363636364,0
0.452380952,0.227272727,0
0.380952381,0.136363636,0
0.428571429,0.090909091,0
0.19047619,0.545454545,0
0.976190476,0.727272727,123
0.30952381,0.727272727,0
0.214285714,0.636363636,0
0.142857143,0.5,0
0,0.863636364,0
0.357142857,0.590909091,0
0.30952381,0.136363636,0
0.595238095,0,1
0.642857143,0.136363636,1
0.666666667,0.363636364,1
0.595238095,0.272727273,1
0.571428571,0.045454545,1
0.761904762,0.5,1
0.19047619,0.681818182,123
0.952380952,0.772727273,1
0.880952381,0.545454545,1
0.285714286,0.454545455,123
0.714285714,0.772727273,1
0.619047619,0.863636364,1
0.666666667,1,1
0.738095238,0.909090909,1
0.833333333,0.636363636,1
0.904761905,0.272727273,1
0.857142857,0.909090909,1
0.928571429,0.818181818,1
1,0.863636364,1
0.904761905,1,1
